location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sudan,0,0,0,0,0,0,0.0539,0.0913,0.1173,0.1214,0.1268,0.0805,0.0848,0.144,0.1705,0.2083
Angola,0,0,0,0.0436,0.0423,0.0492,0.0776,0.1981,0.2472,0.1998,0.1779,0.1825,0.2031,0.2642,0.316,0.3945
Benin,0,0,0,0,0,0.079,0.1006,0.2414,0.2388,0.2114,0.255,0.6288,0.2822,0.1465,0.4833,0.628
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0.0644,0.0693,0.1025,0.1827,0.3882,0.6305,0.4748,0.6562,0.6906,0.6829
Burundi,0,0,0,0,0,0.0904,0.0731,0.2598,0.3496,0.3894,0.3542,0.4802,0.4786,0.5238,0.6459,0.7999
Cameroon,0,0,0,0,0,0,0.074,0.0974,0.1272,0.126,0.072,0.1811,0.2662,0.2052,0.151,0.1159
Central African Republic,0,0,0,0,0,0,0,0.1959,0.3786,0.3603,0.3351,0.3682,0.2642,0.3927,0.5992,0.7381
Chad,0,0,0,0,0,0,0,0.0524,0.0531,0.0554,0.0891,0.2002,0.2408,0.3014,0.3393,0.3817
Congo,0,0,0,0,0,0,0.1277,0.2793,0.3432,0.3249,0.2535,0.2385,0.5744,0.6893,0.5633,0.417
Côte d'Ivoire,0,0,0,0,0,0,0,0.0541,0.0862,0.1191,0.0921,0.3573,0.1683,0.116,0.4734,0.5885
Democratic Republic of the Congo,0,0,0,0,0.0606,0.0598,0.0501,0.057,0.142,0.2544,0.2443,0.3016,0.4772,0.4414,0.4886,0.5979
Djibouti,0,0,0,0,0.0688,0.0565,0.0597,0.1299,0.1468,0.1082,0.0929,0.1082,0.1071,0.1009,0.0838,0.0674
South Sudan,0,0,0,0.0771,0.0764,0.1293,0.2396,0.3322,0.39,0.5653,0.5665,0.4274,0.4269,0.5432,0.515,0.5278
Equatorial Guinea,0,0,0,0.0998,0.13,0.1802,0.2642,0.6493,0.788,0.7144,0.4882,0.3028,0.1965,0.1702,0.3128,0.4201
